package,version,pkg_ref,has_news,has_source_pub ,approved_license ,n_releases ,n_author_pkg ,has_tests ,test_coverage,months_package,n_reverse_depends,n_download
haven,2.1.1,,TRUE,TRUE,FALSE,3,302,TRUE,60,36,173,5544420
dplyr,0.8.3,,TRUE,TRUE,TRUE,4,365,TRUE,80,70,4023,17983268
broom,0.5.2,,TRUE,TRUE,TRUE,2,285,TRUE,30,60,335,5609605
lme4,1.1.21,,FALSE,FALSE,TRUE,5,188,TRUE,20,240,582,7337466
RBesT,1.4.0,,TRUE,TRUE,TRUE,7,31,FALSE,40,12,0,7844
foreach,1.4.7,,TRUE,TRUE,TRUE,2,48,FALSE,0,100,1385,5542579
